model,metric,n_folds,mean,std,ci_low,ci_high,ci_label
RF,sensitivity,21,0.13689472129668848,0.13877755222981816,0.07936616191589663,0.19911011831271425,"0.137 [0.079, 0.199]"
SVM,sensitivity,21,0.25940755323340126,0.21178161548382388,0.17451207013668776,0.3572283660737701,"0.259 [0.175, 0.357]"
XGB,sensitivity,21,0.16985792931448654,0.13543664015008072,0.11265335592499105,0.2298730129261389,"0.170 [0.113, 0.230]"
