model_a,model_b,n_pairs,median_diff,wilcoxon_W,p_raw,effect_size_rrb,p_corrected,significant_05,interpretation
RF,SVM,21,0.003441531487374916,91.0,0.41198158264160156,0.21212121212121213,0.0025548934936523438,True,RF > SVM
RF,XGB,21,0.04531731126766414,25.0,0.0008516311645507812,0.7835497835497836,0.0025548934936523438,True,RF > XGB
SVM,XGB,21,0.021505867501598663,70.0,0.11934185028076172,0.3939393939393939,0.0025548934936523438,True,SVM > XGB
