,accuracy,accuracy,accuracy,sensitivity,sensitivity,sensitivity,specificity,specificity,specificity,auc,auc,auc
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,
RF,0.5246260057180943,0.057466472683464845,21,0.13689472129668848,0.14220467451193333,21,0.9123572901395001,0.12030575906555686,21,0.5745091272401952,0.14739942611048265,21
SVM,0.5267383570762927,0.06947306563215049,21,0.2594075532334012,0.21701157869981302,21,0.7940691609191842,0.19421679782650866,21,0.5396392393171977,0.15627916204851416,21
XGB,0.5342298433417229,0.06457952088465117,21,0.16985792931448657,0.1387812583524864,21,0.8986017573689593,0.10998642394192844,21,0.50345945794924,0.14315374533373995,21
