model,metric,n_folds,mean,std,ci_low,ci_high,ci_label
RF,auc,21,0.5745091272401951,0.14384711069379194,0.5093559386798568,0.6306152917188719,"0.575 [0.509, 0.631]"
SVM,auc,21,0.5396392393171977,0.1525128456434806,0.4744796359929169,0.6046308772719966,"0.540 [0.474, 0.605]"
XGB,auc,21,0.50345945794924,0.13970375051405254,0.44013437045779474,0.5598279976972568,"0.503 [0.440, 0.560]"
