model,metric,n_folds,mean,std,ci_low,ci_high,ci_label
RF,auc,21,0.5745091272401951,0.14384711069379194,0.5093559386798567,0.6306152917188719,"0.575 [0.509, 0.631]"
SVM,auc,21,0.5396429570217216,0.15251164866885183,0.47448140937774164,0.6046308029651288,"0.540 [0.474, 0.605]"
XGB,auc,21,0.50345945794924,0.13970375051405257,0.44013437045779474,0.5598279976972568,"0.503 [0.440, 0.560]"
