component,value,pct
Total gap (Stage 1 EEGNet - Part I RF),0.26349999999999996,100.0
Window length alone (at StdScaler),0.007639542123568432,2.899256972891246
Window length alone (at per-seg z),0.2769381853935825,105.09988060477515
Normalisation alone (at 1-sec),0.014561814606417478,5.5263053534791196
Normalisation alone (at 4-sec),0.28386045787643155,107.72692898536303
Window x Normalisation INTERACTION,0.26929864327001407,102.20062363188391
Architecture (Stage 1 - Stage 3),-0.028000000000000025,-10.62618595825428
