fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,fit_time_sec,threshold,n_features_kept
0,chb01,RF,0.5314253647586981,0.06734006734006734,0.9955106621773289,0.8258718876002825,60,887,4,831,1782,0.5082133079760595,0.554502220657611,7.523484230041504,0.05,84
0,chb01,SVM,0.494949494949495,0.004489337822671156,0.9854096520763187,0.7846465654172351,4,878,13,887,1782,0.47177133376439717,0.5181493848480486,169.59420347213745,0.05,84
0,chb01,XGB,0.5067340067340067,0.013468013468013467,1.0,0.7578365019442461,12,891,0,879,1782,0.48353141362113505,0.5299076282289372,4.141358137130737,0.05,84
1,chb02,RF,0.537463976945245,0.08357348703170028,0.9913544668587896,0.9104967236668355,29,344,3,318,694,0.5002636908364754,0.5742517866013844,8.201674699783325,0.05,85
1,chb02,SVM,0.49711815561959655,0.0,0.9942363112391931,0.4992816151616574,0,345,2,347,694,0.46003687625428763,0.5342311639427999,140.87958192825317,0.05,85
1,chb02,XGB,0.5129682997118156,0.025936599423631124,1.0,0.6635716599257531,9,347,0,338,694,0.4758115642527323,0.549982254860373,2.355731248855591,0.05,85
2,chb03,RF,0.49815043156596794,0.0,0.9963008631319359,0.6702887698583442,0,808,3,811,1622,0.4738504526441244,0.5224591509482552,11.936054944992065,0.05,88
2,chb03,SVM,0.5388409371146733,0.17262638717632553,0.905055487053021,0.648618487170092,140,734,77,671,1622,0.5145179168789826,0.5629804076810485,55.9039888381958,0.05,88
2,chb03,XGB,0.5,0.0,1.0,0.696573471122254,0,811,0,811,1622,0.47569548495348124,0.5243045150465188,2.323176145553589,0.05,88
