model,metric,n_folds,mean,std,ci_low,ci_high,ci_label
RF,specificity,21,0.9123572901394998,0.11740639904820557,0.8562978615608445,0.9568859964035686,"0.912 [0.856, 0.957]"
SVM,specificity,21,0.794122605417073,0.18952573087458696,0.7038719450833788,0.8635942373847975,"0.794 [0.704, 0.864]"
XGB,specificity,21,0.8986017573689593,0.10733575914827626,0.8472719126291448,0.9382271105942507,"0.899 [0.847, 0.938]"
