,accuracy,accuracy,accuracy,sensitivity,sensitivity,sensitivity,specificity,specificity,specificity,auc,auc,auc
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,
RF,0.5246260057180943,0.057466472683464845,21,0.13689472129668848,0.14220467451193333,21,0.9123572901395001,0.12030575906555686,21,0.5745091272401952,0.14739942611048265,21
SVM,0.5267779982204133,0.06944471422615475,21,0.2594333910237534,0.21701648889222935,21,0.7941226054170732,0.1942060833154401,21,0.5396429570217216,0.15627793551450525,21
XGB,0.5342298433417229,0.06457952088465117,21,0.16985792931448657,0.1387812583524864,21,0.8986017573689593,0.10998642394192844,21,0.50345945794924,0.14315374533373995,21
